N,MB,min,avgMin,avg,avgMax,max
119,8968.0,403.2,423.5,446.0,470.1,477.0
120,9044.0,388.7,420.4,446.6,480.7,578.5
121,9120.0,362.9,421.1,447.8,482.4,575.7
122,9196.0,281.9,399.2,433.1,488.1,536.9
123,9272.0,399.7,419.9,448.0,470.6,493.3
124,9348.0,383.1,416.5,440.2,469.8,506.3
125,9424.0,397.0,422.3,445.3,466.5,480.6
126,9500.0,391.5,416.7,448.4,482.5,592.1
127,9576.0,350.4,419.9,453.3,502.4,661.4
128,9652.0,385.1,413.5,448.3,484.4,589.2
129,9728.0,376.3,418.2,448.9,480.9,553.9
130,9804.0,404.0,424.1,442.5,463.2,470.2
131,9880.0,388.0,416.0,441.0,462.9,476.1
132,9956.0,394.7,428.9,444.0,466.1,477.3
133,10032.0,328.4,414.2,454.3,505.0,646.6
134,10108.0,393.1,420.2,444.8,473.0,494.5
135,10184.0,297.8,407.9,437.7,480.3,517.1
136,10260.0,388.6,422.2,443.9,470.4,490.5
137,10336.0,393.3,423.8,445.2,468.8,478.4
138,10412.0,394.8,419.1,440.9,461.7,477.0
139,10488.0,302.2,414.9,453.2,519.1,766.9
140,10564.0,377.9,413.6,441.1,471.3,477.1
141,10640.0,390.7,404.5,437.1,465.8,479.7
142,10716.0,381.1,418.4,439.6,471.5,480.4
143,10792.0,394.9,414.3,437.2,466.8,476.9
144,10868.0,393.1,425.0,444.8,469.4,495.9
145,10944.0,397.3,421.7,450.0,481.0,509.0
146,11020.0,395.4,420.7,437.2,463.9,473.9
147,11096.0,377.1,418.2,445.0,462.3,477.5
148,11172.0,397.7,421.9,445.1,469.3,474.7
149,11248.0,290.7,393.4,435.2,496.7,575.0
150,11324.0,340.1,424.7,464.8,518.9,730.0
151,11400.0,376.2,420.1,449.3,486.5,580.7
152,11476.0,292.4,381.0,448.9,546.0,592.6
153,11552.0,355.1,403.9,465.1,545.0,597.0
154,11628.0,348.4,381.2,469.5,575.2,617.9
155,11704.0,385.8,415.8,450.0,478.4,530.3
156,11780.0,290.7,413.1,460.6,536.8,774.7
157,11856.0,389.0,425.6,454.4,472.5,557.6
158,11932.0,368.9,413.7,439.9,462.1,474.2
159,12008.0,391.3,413.9,438.9,460.6,482.1
160,12084.0,389.9,416.1,439.2,457.1,468.1
161,12160.0,389.3,405.3,428.8,457.1,469.6
162,12236.0,293.4,393.1,433.4,471.7,555.6
163,12312.0,351.3,414.4,451.6,504.5,614.5
164,12388.0,421.2,428.6,444.9,461.0,471.6
165,12464.0,394.2,419.7,439.6,467.1,477.0
166,12540.0,389.9,415.9,434.0,460.6,470.7
167,12616.0,399.2,413.6,441.1,461.8,482.5
168,12692.0,281.6,403.0,452.1,506.9,702.0
169,12768.0,399.5,415.0,438.7,464.5,479.4
170,12844.0,399.1,411.2,438.6,471.2,530.6
171,12920.0,370.4,412.8,448.6,506.8,606.8
172,12996.0,394.5,416.9,443.1,472.6,478.4
173,13072.0,350.2,414.8,444.8,476.9,502.7
174,13148.0,419.9,429.8,444.4,459.9,472.7
175,13224.0,394.8,421.4,443.2,465.5,471.9
176,13300.0,287.7,384.1,427.8,469.6,565.1
177,13376.0,414.5,419.7,443.6,465.8,473.2
178,13452.0,388.8,414.1,433.2,460.0,462.9
179,13528.0,373.9,414.2,442.4,478.2,557.3
180,13604.0,307.7,405.1,445.0,498.8,679.7
181,13680.0,342.2,406.8,446.5,488.9,698.8
182,13756.0,395.1,425.8,441.0,460.8,470.6
183,13832.0,398.9,418.6,437.4,463.2,472.3
184,13908.0,391.6,421.0,442.4,472.6,486.4
185,13984.0,298.3,412.8,456.2,513.1,757.2
186,14060.0,333.7,409.5,448.9,495.1,692.6
187,14136.0,400.0,423.6,440.6,465.7,475.3
188,14212.0,408.6,421.5,441.6,463.2,477.6
189,14288.0,296.0,393.5,432.8,460.0,497.6
190,14364.0,390.4,412.5,450.1,474.1,496.6
191,14440.0,262.3,411.3,457.4,529.6,768.0
192,14516.0,397.6,415.7,443.5,477.0,566.8
193,14592.0,402.9,423.5,446.3,468.8,496.8
194,14668.0,394.7,417.5,439.2,462.0,473.8
195,14744.0,393.5,419.6,438.5,462.6,476.7
196,14820.0,376.7,391.3,439.7,469.5,489.7
197,14896.0,347.1,438.0,498.7,655.9,790.1
198,14972.0,397.5,422.7,446.1,470.2,475.5
199,15048.0,390.9,412.8,440.6,456.7,472.2
200,15124.0,418.8,425.2,446.9,465.3,471.9
201,15200.0,394.6,417.6,441.3,466.1,474.5
202,15276.0,264.8,427.9,471.5,689.5,833.2
203,15352.0,274.6,398.2,437.6,480.8,609.9
204,15428.0,413.8,425.0,445.9,470.4,475.9
205,15504.0,393.0,414.1,442.9,462.2,477.1
206,15580.0,397.3,404.7,427.4,458.6,466.6
207,15656.0,371.8,399.9,433.0,460.6,475.8
208,15732.0,358.3,394.3,432.2,474.9,528.7
209,15808.0,362.0,398.9,432.4,463.2,520.6
210,15884.0,387.7,400.1,430.7,452.3,500.2
211,15960.0,394.5,410.7,435.4,456.6,500.8
212,16036.0,395.4,409.4,431.7,459.0,471.0
213,16112.0,379.9,404.9,433.7,462.1,497.1
214,16188.0,300.7,396.8,441.8,504.7,717.1
215,16264.0,413.7,426.9,449.1,467.9,483.0
216,16340.0,291.4,396.3,436.7,486.1,630.0
217,16416.0,387.9,416.0,445.6,471.2,482.2
218,16492.0,419.9,423.5,445.2,468.6,476.6
219,16568.0,354.8,415.6,440.6,482.4,479.6
220,16644.0,393.5,421.7,444.8,469.4,499.2
221,16720.0,396.8,420.7,447.7,475.1,518.7
222,16796.0,386.9,422.0,444.5,467.1,494.4
223,16872.0,381.4,421.1,446.9,469.2,478.6
224,16948.0,374.6,420.9,446.2,481.2,558.0
225,17024.0,378.6,416.9,446.5,480.2,559.3
226,17100.0,363.3,415.4,440.1,471.0,550.7
227,17176.0,400.0,424.6,447.7,469.6,480.1
228,17252.0,386.6,413.7,441.7,476.8,506.4
229,17328.0,393.2,418.3,446.0,474.7,492.3
230,17404.0,287.7,389.6,434.3,491.7,561.0
231,17480.0,331.4,417.1,458.3,514.5,700.9
232,17556.0,376.7,416.0,444.1,473.0,519.2
233,17632.0,377.8,418.2,447.7,475.8,544.3
234,17708.0,416.3,424.0,442.8,464.8,473.5
235,17784.0,377.8,420.1,444.6,465.9,483.1
236,17860.0,414.5,422.1,443.8,463.9,474.5
237,17936.0,272.3,425.1,462.8,558.1,732.5
