N,MB,min,avgMin,avg,avgMax,max
473,35872.0,2.0,140.4,212.2,232.3,245.6
474,35948.0,57.3,62.6,148.3,244.9,248.3
475,36024.0,32.5,54.9,104.0,194.6,216.8
476,36100.0,96.9,179.4,234.7,244.8,249.5
477,36176.0,2.0,127.0,215.1,241.6,248.3
478,36252.0,82.6,156.5,211.6,240.3,250.7
479,36328.0,98.4,194.2,231.9,244.9,248.2
480,36404.0,2.0,128.3,218.2,240.7,251.0
481,36480.0,98.9,166.9,235.4,244.6,250.9
482,36556.0,1.9,89.2,211.0,241.4,249.8
483,36632.0,92.2,161.3,233.6,245.6,249.9
484,36708.0,95.4,95.4,237.9,245.8,248.0
485,36784.0,2.0,78.4,213.6,237.9,249.1
486,36860.0,93.1,160.2,226.2,239.5,245.4
487,36936.0,2.0,132.6,225.8,246.2,250.5
488,37012.0,88.6,88.6,224.5,239.0,248.3
489,37088.0,95.8,155.9,220.6,236.4,245.6
490,37164.0,2.0,121.6,215.8,234.3,238.0
491,37240.0,59.7,138.7,211.9,233.2,239.0
492,37316.0,2.0,43.1,207.4,225.5,234.1
493,37392.0,91.2,158.7,221.6,240.2,246.3
494,37468.0,97.5,158.9,225.9,235.2,238.7
495,37544.0,2.0,108.1,201.2,224.5,236.0
496,37620.0,89.4,89.4,217.8,224.8,229.0
497,37696.0,2.0,81.7,218.0,238.9,248.8
498,37772.0,2.9,120.6,219.4,236.4,248.7
499,37848.0,89.7,193.5,231.9,243.3,247.7
500,37924.0,1.9,160.7,194.3,242.3,251.2
501,38000.0,92.7,156.4,222.9,230.7,234.1
502,38076.0,2.0,137.0,208.8,227.9,234.3
503,38152.0,92.4,154.1,218.2,230.5,234.3
504,38228.0,2.0,114.1,213.8,237.3,250.6
505,38304.0,90.4,90.4,228.7,244.3,250.3
506,38380.0,95.0,95.0,237.4,245.3,248.3
507,38456.0,2.0,134.9,218.2,239.4,248.5
508,38532.0,94.9,143.7,217.5,232.1,246.1
509,38608.0,1.9,127.6,190.2,222.3,228.4
510,38684.0,90.0,141.4,231.0,245.2,248.7
511,38760.0,93.6,164.3,237.0,245.4,249.3
512,38836.0,2.0,139.1,213.7,232.9,245.0
513,38912.0,89.2,148.2,222.9,244.6,250.0
514,38988.0,2.0,137.4,209.2,234.6,238.1
515,39064.0,86.5,144.7,216.3,229.2,234.7
516,39140.0,94.2,94.2,235.0,244.3,249.1
517,39216.0,2.0,139.9,206.4,231.9,241.4
518,39292.0,60.4,139.4,220.8,230.6,234.3
519,39368.0,2.0,117.4,219.4,239.6,248.3
520,39444.0,90.4,90.4,236.1,244.4,251.3
521,39520.0,94.2,177.4,234.5,244.5,249.5
522,39596.0,2.0,156.2,191.5,232.6,246.6
523,39672.0,91.6,175.4,226.0,242.7,248.9
524,39748.0,2.0,113.9,207.7,234.2,243.6
525,39824.0,91.0,162.9,236.0,244.4,248.5
526,39900.0,2.0,140.4,207.8,230.8,249.3
527,39976.0,32.5,111.9,216.6,234.0,244.9
528,40052.0,90.2,157.8,223.3,239.1,248.6
529,40128.0,2.0,124.0,202.8,231.1,234.0
530,40204.0,89.0,89.0,221.4,229.7,234.3
531,40280.0,2.0,2.0,204.6,232.1,252.6
532,40356.0,96.5,96.5,237.0,244.8,248.6
533,40432.0,90.5,154.3,234.2,243.9,248.6
534,40508.0,2.0,120.6,203.5,232.3,245.7
535,40584.0,89.0,146.5,206.8,228.1,232.8
536,40660.0,1.9,113.2,217.8,237.2,249.4
537,40736.0,94.2,94.2,217.1,224.0,227.5
538,40812.0,89.5,166.7,217.5,237.8,247.8
539,40888.0,39.8,55.9,95.8,245.7,247.3
540,40964.0,2.0,57.8,157.1,213.3,234.4
541,41040.0,88.5,94.3,215.8,239.6,246.4
542,41116.0,97.7,158.7,227.9,240.7,247.8
543,41192.0,2.0,120.1,199.5,228.9,234.5
544,41268.0,97.6,164.0,236.6,245.2,248.7
545,41344.0,2.0,119.7,198.0,230.4,248.1
546,41420.0,96.6,96.6,235.4,245.4,250.7
547,41496.0,95.7,165.9,236.7,245.1,249.8
548,41572.0,1.9,123.1,207.2,236.0,246.8
549,41648.0,91.1,127.0,227.6,237.7,244.6
550,41724.0,2.0,146.8,201.9,233.3,238.3
551,41800.0,91.8,91.8,220.0,231.4,235.5
552,41876.0,83.4,172.3,220.7,230.2,234.9
553,41952.0,2.0,151.2,214.9,239.9,249.0
554,42028.0,90.6,92.5,220.5,244.4,249.8
555,42104.0,2.0,154.3,219.1,242.0,248.7
556,42180.0,32.2,146.0,218.2,236.9,245.5
557,42256.0,86.5,167.6,221.3,229.8,233.7
558,42332.0,2.0,132.0,202.1,232.5,246.0
559,42408.0,91.4,91.4,222.4,230.7,234.2
560,42484.0,2.0,141.3,212.2,231.8,240.3
561,42560.0,92.9,164.2,235.5,244.5,246.9
562,42636.0,89.0,89.0,235.8,244.0,246.7
563,42712.0,2.0,130.7,196.1,231.3,248.9
564,42788.0,93.5,164.2,235.4,244.1,249.4
565,42864.0,1.9,166.7,217.6,241.4,247.8
566,42940.0,95.0,181.0,227.1,242.0,248.8
567,43016.0,2.0,86.8,221.9,243.9,247.7
568,43092.0,90.3,188.5,217.8,237.0,245.0
569,43168.0,89.4,89.4,234.2,242.3,246.5
