N,MB,min,avgMin,avg,avgMax,max
119,8968.0,152.2,159.2,164.8,183.9,219.8
120,9044.0,119.8,140.1,157.5,170.5,192.9
121,9120.0,117.2,122.4,140.5,156.3,173.0
122,9196.0,118.8,126.6,141.2,160.4,165.5
123,9272.0,112.6,123.6,138.7,159.1,164.3
124,9348.0,117.6,130.9,145.8,162.5,168.9
125,9424.0,133.8,143.9,156.2,163.1,175.9
126,9500.0,137.3,154.7,163.6,178.9,187.1
127,9576.0,108.9,120.5,147.0,161.4,170.6
128,9652.0,115.2,119.0,124.0,130.0,134.1
129,9728.0,120.4,126.4,132.7,148.5,152.0
130,9804.0,104.4,123.5,133.8,150.5,161.2
131,9880.0,106.5,112.6,120.8,137.0,152.7
132,9956.0,110.3,127.3,154.6,173.8,202.3
133,10032.0,137.6,168.5,183.5,205.8,227.3
134,10108.0,118.5,131.5,148.9,159.5,181.9
135,10184.0,116.1,123.5,133.5,152.0,161.2
136,10260.0,115.4,123.0,130.0,146.8,157.1
137,10336.0,104.5,116.1,123.0,133.4,140.1
138,10412.0,108.4,112.8,119.0,127.4,145.3
139,10488.0,108.6,139.8,156.4,181.2,234.9
140,10564.0,138.7,162.7,194.6,218.6,232.0
141,10640.0,114.1,138.9,151.5,165.9,196.2
142,10716.0,123.2,133.0,141.2,154.6,161.0
143,10792.0,146.3,156.4,163.4,169.0,183.8
144,10868.0,106.5,113.7,124.1,134.6,149.3
145,10944.0,109.7,115.1,120.7,129.1,151.7
146,11020.0,110.9,123.8,138.1,156.7,164.0
147,11096.0,157.8,163.1,179.1,216.0,231.4
148,11172.0,121.4,128.7,138.8,153.2,159.1
149,11248.0,144.3,158.9,164.5,179.5,210.0
150,11324.0,141.0,156.2,166.7,184.9,210.9
151,11400.0,91.3,114.4,124.2,139.8,158.0
152,11476.0,95.8,105.8,113.7,120.9,145.8
153,11552.0,104.0,120.6,134.6,147.3,162.6
154,11628.0,111.8,118.4,136.9,155.1,165.3
155,11704.0,110.5,123.5,148.9,163.0,178.0
156,11780.0,132.9,165.2,183.6,225.7,237.0
157,11856.0,109.6,137.6,155.9,167.1,210.4
158,11932.0,110.6,115.8,121.5,129.5,149.0
159,12008.0,116.0,121.6,126.2,133.6,138.0
160,12084.0,112.8,120.2,131.8,145.8,157.4
161,12160.0,115.7,124.5,134.0,145.8,162.6
162,12236.0,112.0,127.7,143.0,169.5,220.8
163,12312.0,147.6,161.5,172.3,199.7,226.7
164,12388.0,134.4,149.3,158.3,162.7,169.8
165,12464.0,106.1,121.0,126.9,137.6,146.7
166,12540.0,111.2,119.4,125.4,133.0,145.2
167,12616.0,120.6,127.3,145.3,157.9,173.8
168,12692.0,106.9,120.8,127.7,141.1,156.9
169,12768.0,34.7,83.3,144.5,172.2,214.5
170,12844.0,161.9,183.3,206.6,230.2,239.3
171,12920.0,126.3,144.3,165.0,212.1,238.1
172,12996.0,116.7,122.9,132.2,142.5,150.2
173,13072.0,121.5,138.2,156.0,163.7,173.1
174,13148.0,113.5,125.7,139.4,149.2,161.3
175,13224.0,99.4,116.2,121.3,127.4,138.7
176,13300.0,115.3,122.7,134.2,147.9,156.1
177,13376.0,136.4,162.7,175.7,215.9,232.1
178,13452.0,112.4,120.1,139.9,157.2,182.1
179,13528.0,117.8,128.9,140.1,159.1,166.9
180,13604.0,125.6,139.7,155.8,162.8,174.7
181,13680.0,117.0,125.6,136.3,149.5,164.9
182,13756.0,116.9,122.3,127.2,137.0,149.7
183,13832.0,129.9,146.1,157.0,162.4,165.6
184,13908.0,142.2,160.0,173.3,198.0,236.7
185,13984.0,107.3,125.1,139.3,157.1,179.5
186,14060.0,117.5,125.9,139.2,156.5,165.9
187,14136.0,132.4,156.5,164.7,168.8,180.0
188,14212.0,110.0,117.2,132.1,148.3,167.7
189,14288.0,113.3,122.2,132.1,154.4,165.6
190,14364.0,104.9,123.2,137.7,154.0,171.1
191,14440.0,142.6,154.8,169.1,197.4,232.1
192,14516.0,118.4,134.5,145.0,162.9,172.7
193,14592.0,124.3,158.9,170.6,206.5,210.0
194,14668.0,125.7,139.0,159.8,177.9,232.3
195,14744.0,97.8,102.8,118.4,125.1,152.7
196,14820.0,99.8,110.6,121.5,127.9,155.8
197,14896.0,119.9,127.2,141.6,158.1,164.2
198,14972.0,122.2,137.2,158.1,182.2,225.8
199,15048.0,122.9,141.9,152.2,158.6,166.4
200,15124.0,143.9,166.1,187.1,219.0,231.7
201,15200.0,140.9,156.1,170.2,205.6,227.4
202,15276.0,105.5,118.1,124.6,136.1,159.3
203,15352.0,103.3,115.8,120.3,125.5,130.8
204,15428.0,117.6,126.3,134.1,158.1,186.2
205,15504.0,104.2,117.5,132.4,153.8,166.8
206,15580.0,101.8,121.0,147.3,177.1,201.8
207,15656.0,87.8,138.6,183.6,214.4,233.9
208,15732.0,45.7,63.2,118.1,156.6,200.4
209,15808.0,67.6,113.1,128.2,139.7,151.9
210,15884.0,55.8,72.7,114.4,131.9,152.6
211,15960.0,108.3,114.6,122.9,131.8,145.0
212,16036.0,99.4,111.4,116.8,120.8,127.8
213,16112.0,104.8,125.9,150.8,168.8,176.6
214,16188.0,148.8,160.6,179.7,230.3,238.6
215,16264.0,113.8,125.1,145.4,159.6,186.3
216,16340.0,124.5,133.6,145.8,157.8,168.8
217,16416.0,112.2,128.7,139.6,155.0,164.1
218,16492.0,108.6,117.2,122.3,131.6,153.2
219,16568.0,103.1,115.3,124.9,137.2,154.0
220,16644.0,124.2,131.4,150.2,159.3,198.0
221,16720.0,147.9,155.8,179.3,208.3,232.5
222,16796.0,109.8,128.8,146.3,158.5,188.1
223,16872.0,121.4,146.5,160.1,166.1,171.9
224,16948.0,110.9,131.2,155.5,164.6,170.7
225,17024.0,108.9,117.2,124.1,132.7,152.3
226,17100.0,112.7,118.1,125.6,136.5,148.4
227,17176.0,116.9,123.7,134.0,144.2,155.8
228,17252.0,109.8,125.9,143.4,159.3,166.6
229,17328.0,110.5,126.3,136.3,154.0,160.4
230,17404.0,103.4,127.8,152.7,163.4,173.1
231,17480.0,140.5,151.3,157.2,162.3,165.6
232,17556.0,109.3,118.0,130.6,149.2,164.8
233,17632.0,107.0,113.8,120.0,129.7,149.0
