N,MB,min,avgMin,avg,avgMax,max
119,8968.0,326.5,423.8,459.7,495.3,517.4
120,9044.0,416.6,437.2,466.2,496.4,528.5
121,9120.0,328.6,425.3,463.4,497.1,513.2
122,9196.0,349.5,430.4,457.0,500.3,512.4
123,9272.0,351.1,431.5,459.1,489.1,498.2
124,9348.0,329.7,426.8,459.2,493.8,507.3
125,9424.0,435.6,443.1,466.7,492.7,501.2
126,9500.0,332.1,428.7,461.5,495.4,505.3
127,9576.0,428.3,437.5,465.5,490.8,503.2
128,9652.0,322.3,424.4,459.0,494.0,524.8
129,9728.0,437.2,441.1,471.3,496.4,507.9
130,9804.0,324.7,428.6,459.2,492.0,499.1
131,9880.0,422.7,438.9,465.7,496.0,524.3
132,9956.0,331.5,441.2,453.4,491.9,507.6
133,10032.0,341.3,427.3,458.3,487.2,493.6
134,10108.0,432.8,438.1,464.0,491.2,499.6
135,10184.0,332.8,424.8,453.7,488.0,496.2
136,10260.0,399.5,438.5,462.4,490.6,505.4
137,10336.0,339.6,425.0,462.9,496.3,516.6
138,10412.0,426.3,438.4,464.0,492.6,502.7
139,10488.0,328.7,433.1,465.0,496.9,513.2
140,10564.0,342.7,420.6,465.5,502.8,528.8
141,10640.0,445.3,454.6,475.7,500.7,515.4
142,10716.0,368.3,435.3,460.5,491.5,502.3
143,10792.0,427.4,440.3,468.6,493.1,514.2
144,10868.0,342.0,429.4,460.5,493.6,508.6
145,10944.0,430.5,440.7,465.7,489.2,502.2
146,11020.0,386.1,431.1,464.5,499.6,514.8
147,11096.0,415.5,437.2,465.4,487.1,506.7
148,11172.0,431.1,440.3,463.7,491.0,504.8
149,11248.0,353.2,437.9,465.7,494.6,505.9
150,11324.0,375.7,430.4,464.6,502.1,576.0
151,11400.0,416.2,442.6,469.2,500.2,515.7
152,11476.0,434.1,443.3,467.1,490.9,514.3
153,11552.0,436.3,443.2,466.7,490.9,510.7
154,11628.0,410.7,441.2,467.5,495.0,537.1
155,11704.0,439.0,446.6,469.7,491.7,504.9
156,11780.0,435.7,446.2,468.5,493.7,507.0
157,11856.0,431.7,443.3,465.6,490.1,495.6
158,11932.0,425.0,442.3,464.8,497.6,523.0
159,12008.0,424.2,436.5,457.4,485.9,493.6
160,12084.0,416.4,441.3,463.3,491.4,503.6
161,12160.0,414.3,434.1,461.0,482.4,505.2
162,12236.0,300.5,408.7,446.6,479.9,491.4
163,12312.0,426.4,442.6,467.1,490.4,510.4
164,12388.0,419.2,438.8,462.7,490.0,501.0
165,12464.0,428.2,439.0,464.7,489.0,505.7
