N,MB,min,avgMin,avg,avgMax,max
518,39292.0,228.6,395.9,454.1,475.9,512.6
519,39368.0,389.9,447.5,473.2,488.2,501.4
520,39444.0,231.3,357.9,464.1,491.0,503.3
521,39520.0,181.8,317.7,446.2,466.9,491.2
522,39596.0,397.0,446.6,468.9,479.1,489.1
523,39672.0,254.2,408.5,447.6,469.6,488.1
524,39748.0,440.3,463.2,473.8,485.1,494.7
525,39824.0,239.2,369.6,452.6,475.6,492.6
526,39900.0,310.3,389.5,449.2,481.8,497.7
527,39976.0,438.7,461.5,477.9,489.4,503.5
528,40052.0,372.5,435.7,456.9,474.2,493.8
529,40128.0,240.5,445.4,453.4,482.8,493.6
530,40204.0,434.1,458.1,471.1,480.2,484.6
531,40280.0,390.2,434.0,469.2,484.3,507.3
532,40356.0,432.0,457.6,472.7,479.8,510.1
533,40432.0,421.6,455.3,476.4,493.5,499.7
534,40508.0,158.2,264.0,410.6,458.8,486.1
535,40584.0,209.6,217.4,272.8,298.0,310.6
536,40660.0,158.6,270.9,339.3,471.4,501.8
537,40736.0,425.3,454.4,463.0,474.3,489.8
538,40812.0,422.3,450.7,470.7,484.2,501.7
539,40888.0,280.4,390.3,438.2,457.6,480.6
540,40964.0,392.8,449.7,464.8,482.1,495.5
541,41040.0,449.8,459.3,472.0,489.0,495.0
542,41116.0,368.1,419.0,467.0,480.6,491.6
543,41192.0,406.2,441.5,461.7,473.1,484.6
544,41268.0,367.1,439.2,456.8,473.1,490.8
545,41344.0,265.3,391.1,445.6,469.7,499.1
546,41420.0,442.5,442.7,472.7,487.3,502.9
547,41496.0,361.9,420.1,451.1,474.2,496.7
548,41572.0,377.1,425.0,457.7,472.8,481.6
549,41648.0,439.0,458.6,472.9,484.9,495.9
550,41724.0,226.5,381.2,443.8,461.7,483.0
551,41800.0,404.6,447.0,463.8,477.6,497.6
552,41876.0,453.4,464.2,478.6,494.8,507.8
553,41952.0,358.7,425.3,455.8,472.2,491.0
554,42028.0,382.2,408.5,453.8,471.5,498.2
555,42104.0,392.4,436.1,455.1,472.8,493.6
556,42180.0,226.6,418.5,438.9,465.9,485.2
557,42256.0,251.9,399.4,453.4,471.8,489.2
558,42332.0,175.0,251.8,315.4,480.6,490.3
559,42408.0,204.2,219.5,262.1,304.9,314.0
560,42484.0,418.0,438.1,463.6,479.1,496.4
561,42560.0,243.1,404.0,438.8,462.1,483.4
562,42636.0,239.8,345.5,440.9,466.5,489.5
563,42712.0,322.0,428.9,466.5,483.7,505.2
564,42788.0,361.7,429.2,461.0,478.4,492.0
565,42864.0,389.7,436.8,464.0,476.9,495.9
566,42940.0,271.9,405.3,440.6,453.2,474.5
567,43016.0,364.5,436.9,458.7,475.5,491.5
568,43092.0,426.3,458.7,475.2,488.2,501.1
569,43168.0,360.0,416.4,466.8,479.3,494.6
570,43244.0,364.7,436.4,460.3,472.9,484.8
571,43320.0,383.0,438.9,455.2,476.0,491.6
572,43396.0,190.6,371.2,444.2,468.1,486.9
573,43472.0,417.5,444.0,459.5,472.2,490.6
574,43548.0,239.5,358.7,456.1,483.0,504.2
575,43624.0,238.4,393.9,459.6,472.1,502.4
576,43700.0,440.3,455.4,466.7,481.9,499.3
577,43776.0,213.3,284.1,413.0,450.8,484.4
578,43852.0,392.2,424.1,455.5,464.8,478.2
579,43928.0,379.8,448.8,468.6,480.6,492.9
580,44004.0,367.7,438.2,465.4,480.9,496.0
581,44080.0,183.0,254.4,356.1,444.3,485.3
