N,MB,min,avgMin,avg,avgMax,max
615,46664.0,44.7,53.2,77.7,119.4,159.6
616,46740.0,113.0,130.5,139.7,150.1,163.2
617,46816.0,54.7,106.9,126.2,147.0,165.0
618,46892.0,68.6,112.8,134.1,145.8,167.5
619,46968.0,65.2,117.4,135.9,144.9,157.4
620,47044.0,37.8,54.6,95.3,134.9,157.3
621,47120.0,37.5,55.0,108.9,142.4,164.0
622,47196.0,44.7,52.2,114.0,141.7,168.9
623,47272.0,111.2,130.4,141.4,156.5,164.1
624,47348.0,68.0,100.4,123.9,138.2,157.3
625,47424.0,73.3,106.2,127.0,138.9,150.7
626,47500.0,70.7,83.7,127.0,143.1,153.3
627,47576.0,64.5,89.1,121.7,144.2,165.4
628,47652.0,73.5,112.0,136.5,150.5,173.8
629,47728.0,31.8,54.6,102.1,136.6,157.5
630,47804.0,67.5,115.1,137.9,157.1,167.7
631,47880.0,68.6,112.9,135.0,149.1,173.2
632,47956.0,47.4,76.0,115.8,142.1,153.3
633,48032.0,46.8,66.4,114.7,148.7,165.2
634,48108.0,65.6,86.7,125.9,144.8,164.1
635,48184.0,69.6,86.1,132.4,146.8,167.1
636,48260.0,39.8,51.9,98.8,133.0,151.1
637,48336.0,61.9,93.0,128.5,144.8,154.6
638,48412.0,67.0,113.7,138.7,151.9,166.0
639,48488.0,62.3,97.9,130.2,146.6,154.3
640,48564.0,58.4,85.6,122.3,147.0,158.6
641,48640.0,60.8,96.4,122.1,147.8,162.8
642,48716.0,46.7,60.4,113.5,140.9,163.3
643,48792.0,6.3,59.4,114.2,153.6,186.1
644,48868.0,74.3,101.4,131.7,150.4,170.9
645,48944.0,95.9,117.7,135.8,147.1,161.1
646,49020.0,68.2,77.5,119.4,148.4,180.6
647,49096.0,59.9,78.5,117.7,136.7,163.5
648,49172.0,23.1,57.0,96.6,135.5,157.9
649,49248.0,62.0,104.3,129.9,146.9,171.6
650,49324.0,63.6,101.6,130.4,146.1,164.8
651,49400.0,74.5,118.1,136.7,148.9,156.1
652,49476.0,76.0,117.9,137.0,150.8,159.3
653,49552.0,64.7,77.9,126.4,145.8,159.6
654,49628.0,70.9,87.7,139.8,149.8,162.0
655,49704.0,80.3,110.2,134.0,152.0,160.9
656,49780.0,71.3,102.6,133.0,154.8,170.7
657,49856.0,126.2,142.1,151.1,163.6,173.4
658,49932.0,76.7,117.3,142.4,152.2,159.6
659,50008.0,73.6,108.4,136.1,147.1,161.0
660,50084.0,60.0,78.4,128.9,146.1,158.1
661,50160.0,47.6,80.9,122.1,137.1,152.4
662,50236.0,71.6,93.8,128.3,143.0,157.5
663,50312.0,71.9,102.2,132.6,149.4,170.5
664,50388.0,73.8,120.1,133.2,144.0,149.6
665,50464.0,70.4,113.1,136.6,150.5,165.9
666,50540.0,42.6,105.9,138.0,157.6,164.6
667,50616.0,75.0,105.3,138.8,154.3,163.8
668,50692.0,59.7,94.3,129.9,158.3,179.5
669,50768.0,59.3,87.4,128.0,151.0,181.3
670,50844.0,33.9,56.1,101.4,143.3,165.0
671,50920.0,61.2,107.8,135.7,149.8,168.3
672,50996.0,65.9,120.9,143.8,163.8,173.5
673,51072.0,45.4,58.5,108.3,141.0,161.4
674,51148.0,46.9,78.8,78.8,78.8,157.0
