N,MB,min,avgMin,avg,avgMax,max
157,11856.0,111.7,154.3,178.0,183.3,186.7
158,11932.0,108.9,137.6,178.7,183.1,185.2
159,12008.0,2.0,87.2,112.5,127.9,129.7
160,12084.0,88.8,88.8,126.3,128.6,130.7
161,12160.0,2.0,115.2,145.5,177.8,180.8
162,12236.0,86.3,123.9,129.5,141.7,149.9
163,12312.0,106.2,118.3,135.1,170.4,172.1
164,12388.0,91.6,129.2,166.2,187.3,193.4
165,12464.0,112.3,146.2,181.2,185.0,190.0
166,12540.0,2.0,125.2,155.2,181.1,186.3
167,12616.0,107.3,137.2,167.8,171.1,175.2
168,12692.0,105.1,132.4,176.0,183.7,187.3
169,12768.0,91.3,109.8,128.7,131.4,136.2
170,12844.0,109.1,127.1,155.3,175.4,186.2
171,12920.0,2.0,117.9,148.4,184.1,185.9
172,12996.0,89.9,121.3,130.7,134.1,150.7
173,13072.0,2.0,45.9,122.3,131.4,135.9
174,13148.0,87.9,120.0,128.7,131.6,135.7
175,13224.0,86.5,94.4,124.8,130.3,134.5
176,13300.0,2.0,62.1,126.0,133.8,151.4
177,13376.0,88.4,114.0,127.8,130.6,135.1
178,13452.0,2.0,61.0,120.7,132.7,163.8
179,13528.0,87.4,106.1,126.4,130.5,132.5
180,13604.0,86.9,106.5,127.7,130.1,133.5
181,13680.0,2.0,117.6,132.3,162.9,182.4
182,13756.0,111.7,111.0,178.8,183.1,187.0
183,13832.0,2.0,97.9,168.8,184.1,187.6
184,13908.0,88.8,104.7,125.8,128.6,130.5
185,13984.0,86.8,116.0,127.8,131.2,152.4
186,14060.0,2.0,2.0,122.1,128.9,130.8
187,14136.0,87.2,100.3,126.6,129.0,130.5
188,14212.0,2.0,2.0,121.6,128.4,132.8
189,14288.0,112.6,128.8,138.7,154.3,197.5
190,14364.0,101.4,128.0,148.0,158.3,160.6
191,14440.0,2.0,120.0,135.6,177.4,182.1
192,14516.0,88.1,119.2,129.5,134.9,157.6
193,14592.0,2.0,118.1,132.7,152.1,157.8
194,14668.0,104.2,127.8,145.0,174.7,180.2
195,14744.0,109.8,156.9,174.8,179.4,182.0
196,14820.0,2.0,115.9,150.2,173.0,183.2
197,14896.0,99.7,123.7,140.8,159.2,163.7
198,14972.0,2.0,104.6,168.2,189.0,193.6
199,15048.0,112.8,127.4,143.5,165.2,183.2
200,15124.0,94.8,125.3,134.2,146.0,151.5
201,15200.0,2.0,62.9,124.2,128.6,152.7
202,15276.0,87.4,121.5,145.8,162.8,173.4
203,15352.0,2.0,112.7,142.1,166.9,179.6
204,15428.0,89.7,122.9,128.4,133.9,148.5
205,15504.0,103.6,126.8,145.6,161.7,165.7
206,15580.0,2.0,110.0,146.0,159.8,165.8
207,15656.0,87.8,87.8,122.1,128.6,130.6
208,15732.0,2.0,81.1,136.1,176.3,186.8
209,15808.0,72.6,78.3,91.2,103.2,132.7
