N,MB,min,avgMin,avg,avgMax,max
119,8968.0,135.9,149.0,173.9,196.3,217.5
120,9044.0,154.6,178.2,192.6,202.5,215.2
121,9120.0,69.0,136.8,185.2,205.7,224.0
122,9196.0,130.1,176.4,191.4,199.6,217.7
123,9272.0,133.5,166.3,189.3,200.6,223.0
124,9348.0,138.9,156.8,176.3,184.6,217.0
125,9424.0,113.5,166.7,187.8,202.8,221.0
126,9500.0,142.0,162.9,190.8,206.8,224.2
127,9576.0,168.2,184.0,190.6,198.2,208.7
128,9652.0,167.6,189.8,204.0,220.5,225.8
129,9728.0,140.0,155.7,174.4,193.7,216.2
130,9804.0,140.0,179.6,191.6,201.0,220.7
131,9880.0,175.4,191.6,198.9,207.6,217.9
132,9956.0,164.5,174.3,188.2,201.3,212.4
133,10032.0,137.2,171.2,194.0,209.7,225.7
134,10108.0,178.3,188.2,194.8,202.6,212.9
135,10184.0,170.3,177.2,193.5,202.3,213.7
136,10260.0,140.2,172.7,190.6,200.2,217.7
137,10336.0,125.3,164.8,184.3,199.4,212.8
138,10412.0,164.2,179.6,194.6,204.0,218.5
139,10488.0,133.0,166.7,183.6,200.2,216.8
140,10564.0,144.5,162.7,188.9,203.3,215.3
141,10640.0,135.9,173.2,186.1,199.1,223.0
142,10716.0,136.6,153.1,181.8,196.8,220.3
143,10792.0,177.0,190.3,196.1,206.2,220.5
144,10868.0,164.7,181.7,190.8,201.3,217.2
145,10944.0,169.9,183.4,191.0,202.2,212.1
146,11020.0,139.6,163.4,184.3,197.7,219.3
147,11096.0,148.7,174.0,186.2,197.0,206.6
148,11172.0,169.8,187.7,194.6,207.3,219.9
149,11248.0,136.9,179.3,194.0,204.7,215.5
150,11324.0,165.6,183.0,191.2,198.6,216.5
151,11400.0,170.9,184.6,192.1,200.8,212.2
152,11476.0,153.6,177.0,188.7,201.7,215.0
153,11552.0,141.7,172.8,190.2,195.6,203.9
154,11628.0,161.0,181.1,191.3,202.7,217.0
155,11704.0,142.0,169.9,187.5,205.5,221.4
156,11780.0,136.6,166.0,187.1,195.8,204.8
157,11856.0,146.6,167.0,185.3,198.4,220.0
158,11932.0,114.5,151.5,175.9,186.7,197.4
159,12008.0,158.1,167.6,188.6,197.4,209.5
160,12084.0,141.2,163.7,182.0,195.0,208.0
161,12160.0,165.2,176.4,187.7,197.7,206.0
162,12236.0,179.5,179.7,191.3,198.0,206.2
163,12312.0,143.1,167.4,186.7,195.4,205.5
164,12388.0,140.0,171.7,192.5,202.5,224.0
165,12464.0,142.6,160.8,183.5,198.1,222.4
